Project Name,Project Link,Parent Category,Category Name,Location,Currency,Goal Amount,Pledged Amount,Percent Funded,Duration,Days Left,Description Length,Risk Desc Count,Is Project We Love,Image Count,Video Count,Success
"Goodbye, Ghosts! (PnP Edition)",https://www.kickstarter.com/projects/joshuamason/goodbye-ghosts-pnp-edition?ref=discovery_ending_soon,Games,Tabletop Games,USA,USD,100.0,1178.0,1178,15,39,49,376,0,17,1,1
Raising Robots,https://www.kickstarter.com/projects/nauvoogames/raising-robots?ref=discovery_ending_soon,Games,Tabletop Games,USA,USD,20000.0,196916.0,984,23,40,103,3969,1,49,1,1
Fantasy Bottle Pins,https://www.kickstarter.com/projects/solarnovae/fantasy-bottle-pins?ref=discovery_ending_soon,Design,Product Design,USA,USD,2500.0,935.0,37,30,36,63,682,0,10,0,0
The Hotaru Graphic Novel Omnibus,https://www.kickstarter.com/projects/psychosako/the-hotaru-graphic-novel-omnibus?ref=discovery_ending_soon,Comics,Graphic Novels,USA,USD,2100.0,2677.0,127,31,40,77,985,0,21,1,1
The Way of the Warrior,https://www.kickstarter.com/projects/thesearch07/the-way-of-the-warrior?ref=discovery_ending_soon,Publishing,Nonfiction,USA,USD,7500.0,1.0,0,60,36,46,36,0,8,1,0
SHRINE Issue 1,https://www.kickstarter.com/projects/izik-bell/shrine-issue-1?ref=discovery_ending_soon,Comics,Comic Books,USA,USD,5000.0,65008.0,1300,29,41,31,628,0,87,1,1
"20 Wondrous Walls - D&D, Pathfinder, & Tales of the Valiant",https://www.kickstarter.com/projects/matthewjhanson/20-wondrous-walls?ref=discovery_ending_soon,Games,Tabletop Games,USA,USD,500.0,2059.0,411,30,40,122,79,0,12,0,1
Doozie,https://www.kickstarter.com/projects/dooziegame/doozie?ref=discovery_ending_soon,Games,Playing Cards,USA,USD,15500.0,12817.0,82,30,36,54,430,0,17,1,0
Meet the People of Ukraine. Life in their words.,https://www.kickstarter.com/projects/rmikefaris/meet-the-people-of-ukraine-life-in-their-words?ref=discovery_ending_soon,Publishing,Literary Spaces,Ukraine,USD,3000.0,12.0,0,37,36,134,215,0,12,1,0
Glide: A Dreamers Clothing Company,https://www.kickstarter.com/projects/pressey/glide-a-dreamers-clothing-company?ref=discovery_ending_soon,Fashion,Apparel,Canada,CAD,30000.0,91.29,0,30,36,129,767,0,8,0,0
Follow along as Olly and Lucille solve a mystery in Carmel.,https://www.kickstarter.com/projects/carmelbook/follow-along-as-olly-and-lucille-solve-a-mystery-in-carmel?ref=discovery_ending_soon,Publishing,Children's Books,USA,USD,100.0,366.0,366,60,36,98,683,0,15,0,1
Black Death,https://www.kickstarter.com/projects/flankmarch/black-death?ref=discovery_ending_soon,Games,Tabletop Games,UK,GBP,500.0,4883.0,976,30,37,44,1046,0,36,0,1
Twede’s Café Neon RR Sign - The Return,https://www.kickstarter.com/projects/twedesneon/twedes-cafe-neon-sign-restoration?ref=discovery_ending_soon,Art,Installations,USA,USD,15000.0,26193.0,174,45,37,135,318,0,12,1,1
